"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ISG15",289.82484225492,1.1804836694465,0.281799897696424,4.18908480484333,2.80081724644973e-05,0.000924831102357765
"RBP7",36.4849774176832,1.26223096665975,0.457274570694435,2.76033492250156,0.00577421313728734,0.0365848222108641
"HNRNPR",48.5997467240475,-1.37287286162001,0.467699075011178,-2.93537647383031,0.00333143224088247,0.0250974666683554
"RPL11",39398.744803048,1.16740275214412,0.22018560178121,5.30190322482629,1.14601591347618e-07,2.32751122372573e-05
"CLIC4",3796.55808750692,-1.1562932590663,0.176036555092626,-6.56848379280026,5.0830163780689e-11,8.37342231347217e-08
"ZNF593",1736.63028259823,1.01399276620509,0.218546363301818,4.63971466230599,3.48890564108529e-06,0.000234242963919938
"SNHG3",315.557201528863,1.09655991634948,0.228656125701403,4.79567259781815,1.62129901050896e-06,0.00013580440186331
"ZC3H12A",154.62570055262,1.18499519391832,0.256729198180415,4.6157398625363,3.91697342503285e-06,0.000249240549354236
"CITED4",401.031356543988,1.10989303731876,0.179847059006213,6.17131602513676,6.77239027630436e-10,4.18364409318702e-07
"SLC6A9",209.509573163695,-1.31128704989531,0.241438804396418,-5.43113627974362,5.59963498942081e-08,1.43138255781298e-05
"FAF1-AS1",14.8616069175695,4.0034491932078,1.13288252127006,3.53386085321501,0.000409536621734349,0.00588351739712544
"LOC105378726",10.5511458983575,2.74492909528942,1.0318526611311,2.66019481141861,0.00780954664302154,0.0456382887384459
"CTH",516.99162063354,-1.20633825834035,0.171839292621439,-7.02015377238494,2.21624194328423e-12,6.5716006102264e-09
"RPL17P6",78.8274084011806,1.00482800405235,0.373629692980367,2.68936870631733,0.00715873013961977,0.0428137688785811
"NEXN",333.530475462925,1.83815144709419,0.677439978983217,2.71337905072138,0.00666008758083315,0.0405262494335368
"RPL7P9",604.459808990864,1.27720054838146,0.215111659774265,5.93738409959615,2.89605636274197e-09,1.4805838494487e-06
"SLC30A7",189.633939206157,-1.00228756991876,0.290706494871283,-3.44776462721464,0.000565246386567269,0.0073324035290029
