"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ATAD3C",5.36506886966913,1.46482326443621,0.500923894229096,2.92424314613805,0.00345294915166214,0.0248057273492894
"TP73-AS3",7.56946877938066,2.84714486612838,0.675819698476434,4.21287641148515,2.52139039661165e-05,0.000671564545977943
"CHD5",3.16640058199337,3.17787250110921,1.12540840094404,2.82375047000135,0.00474653227446116,0.0311835663557718
"SLC2A5",63.2044181618261,-1.18478922849477,0.248403173591449,-4.76962194711492,1.84571981933799e-06,8.5218439676906e-05
"RBP7",29.5782197982397,1.27023881194191,0.302778828795815,4.19526958669398,2.7254722557293e-05,0.000713728645366631
"NPPB",1650.40308362063,1.22751235045763,0.324344228212649,3.78459748527678,0.000153957551607573,0.00260698881665322
"CELA2B",2.81977623796559,3.59469263457817,1.1548121431217,3.1127942808611,0.0018532514861665,0.0159978114926308
"LINC01772",5.70207333355893,2.05317479107629,0.779491071550736,2.63399398147263,0.00843869837441985,0.0464066369524105
"PADI2",25.2012790366724,-1.5858751164394,0.484528026426299,-3.27303072256982,0.00106400911667623,0.0106553363566751
"CNKSR1",16.4653149395021,-1.51953827427605,0.317243093231916,-4.78982303064741,1.66928467904102e-06,7.94242515480809e-05
"SNORA73A",57.638323035927,1.11827666114636,0.325274508481187,3.43794743205657,0.000586141475354851,0.00685223815674994
"SNORA73B",65.6489023524716,1.1158256589313,0.326135346009762,3.42135764363885,0.000623093351690127,0.00714741321188862
"SNHG12",124.843944509924,1.15954718543428,0.212388097060058,5.459567656969,4.77295429014369e-08,4.69626264596711e-06
"TSSK3",5.28105443880204,2.61509649445103,0.728786148726875,3.58829061037915,0.000332853159499239,0.00454622687997983
"LOC105378641",6.1447234468089,-3.00358781822973,0.767585740519936,-3.91303232938538,9.11443266251314e-05,0.0017661609525476
"RPL5P4",10.1093966631477,1.96694284081676,0.470228527908103,4.18295089319031,2.87749563950929e-05,0.000741092237829908
"ZC3H12A",199.985143327805,1.20234095527325,0.121185545573473,9.92148815754837,3.3571294393863e-23,1.13409427678202e-19
"PPIEL",4.88222780793727,3.04125124215808,0.904573251667721,3.3620839844104,0.000773565919353927,0.00836235073033853
"LOC105378672",20.7098802877705,1.33344710340807,0.358928912964485,3.71507297195645,0.000203145061832062,0.00316247869299084
"NFYC-AS1",10.9490339978044,1.64899180419068,0.55172222908468,2.98880798572571,0.00280068077338031,0.0214327715373797
"GUCA2B",11.6884266114996,-1.26409274890123,0.40660256761983,-3.10891482142127,0.00187775844651316,0.0161214920752883
"LOC100129492",6.19358716405964,1.58739391566778,0.535030440770705,2.96692261730222,0.00300796654101896,0.0225475125073644
"RPS15AP10",6.21628310649067,1.87169333838944,0.683953863371649,2.73657835509936,0.00620818083637781,0.0376689481360719
"TSPAN1",228.427361164044,-1.31632423134942,0.284005468897102,-4.63485522465885,3.57187374777411e-06,0.000144219739031142
"SLC5A9",153.244603043559,-1.05626315104849,0.215215534864044,-4.90793172396107,9.20418832342365e-07,4.93544161712894e-05
"ANAPC10P1",2.11770147667037,3.59089527339126,1.18512276764175,3.02997746008771,0.00244571990279232,0.0193886933487906
"LOC105378723",5.13860789551803,3.4106946766914,0.933080869498003,3.65530447379802,0.000256876926599543,0.00375659338040848
"LOC105378726",22.8695528821953,1.43291909080941,0.43515619215049,3.29288452435457,0.000991651939905747,0.0100851947666581
"CYP2J2",54.734980499359,-1.01240415946513,0.182036846077806,-5.56153427879328,2.67413138350081e-08,2.90219065167518e-06
"CFL1P3",9.3849260225835,2.01202529271721,0.665075138900508,3.02526011729059,0.00248419377657919,0.0196008686418008
"NEXN-AS1",6.892905431988,1.82921054823098,0.652237879543732,2.80451443499508,0.00503924311093994,0.0324770806409036
"NEXN",242.776802331945,1.24211425222445,0.325334662977213,3.81795853186248,0.000134560535980159,0.00235934905171439
"IFI44",1.86848963853686,4.27948282052506,1.31837249840153,3.24603465690748,0.00117024592255298,0.0114264626021859
"GBP5",11.1004582653428,5.80428231761471,0.859707737097503,6.75145990567772,1.46364836098928e-11,5.39394338707123e-09
"EPHX4",37.5741088285516,-1.79511511776802,0.340871962515274,-5.26624455857844,1.3924276551467e-07,1.0981757253762e-05
"HMGB3P9",7.05949517333405,1.69558946529745,0.587070073306613,2.88822330143182,0.00387424725066041,0.0270257409744714
"CCDC18",134.933181727776,1.22667638461474,0.278405488340267,4.40607831378489,1.05258921014947e-05,0.000338113006347378
"SCARNA2",59.9284694768029,1.26414764704579,0.391855693329175,3.2260540514435,0.00125509651921249,0.0120281566656822
"MYBPHL",19.9548627560939,-1.89226419715287,0.400449377332139,-4.72535182788759,2.29717284420063e-06,0.00010188489360854
"LOC105378925",3.81712695957441,3.04739525140678,0.829462042190956,3.67394177961096,0.000238837175141812,0.0035779679992235
"CD160",6.93176778142891,1.80929311467561,0.586731791663848,3.08368003980974,0.00204457356523223,0.017167134048754
"CA14",27.4364065125874,1.1547502990786,0.405776026845424,2.8457824580122,0.00443024491452097,0.0297618701052098
