"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042445","hormone metabolic process","22/454","241/18986",0.0912863070539419,3.81753706107079,6.88981431665983,8.69152782134715e-08,0.000320630461329496,0.00030795455417531,"REN/UGT1A8/UGT1A3/MME/UGT2B17/SULT1B1/SULT1E1/AFP/ADH4/CPE/GHR/MEP1A/IYD/CYP2W1/AKR1B15/CEL/AKR1C4/CYP26A1/CYP17A1/DHRS2/KLK6/ACE2",22
"GO:0006805","xenobiotic metabolic process","14/454","127/18986",0.110236220472441,4.61001075306115,6.38885611153904,2.16062918530533e-06,0.00398528053229569,0.00382772517775671,"CYP2J2/SULT1C3/SULT1C4/UGT1A8/UGT1A3/NR1I2/AADAC/UGT2B17/SULT1B1/SLC22A1/CYP2W1/CYP26A1/CYP2C19/CYP2B6",14
"GO:0009410","response to xenobiotic stimulus","28/454","451/18986",0.0620842572062084,2.59632534651338,5.37013825229619,4.54663435365308e-06,0.00541546243821507,0.00520136581502103,"CYP2J2/GPR52/REN/NPAS2/SULT1C3/SULT1C4/CPS1/UGT1A8/UGT1A3/NR1I2/AADAC/UGT2B17/SULT1B1/MAP1B/LOX/SLC22A1/CYP2W1/CYP26A1/CYP2C19/PDE3A/FOS/DPEP1/TP53/SLC6A4/MAP2K6/CYP2B6/FOSB/MAOB",28
"GO:0071466","cellular response to xenobiotic stimulus","17/454","198/18986",0.0858585858585859,3.59055310817425,5.73531005090695,5.87201131820556e-06,0.00541546243821507,0.00520136581502103,"CYP2J2/REN/SULT1C3/SULT1C4/UGT1A8/UGT1A3/NR1I2/AADAC/UGT2B17/SULT1B1/SLC22A1/CYP2W1/CYP26A1/CYP2C19/DPEP1/TP53/CYP2B6",17
"GO:0009812","flavonoid metabolic process","5/454","13/18986",0.384615384615385,16.0843781768892,8.51536300000781,8.39999806023135e-06,0.00619751856883869,0.00595250388857657,"SULT1C4/LCT/UGT1A8/UGT1A3/SULT1B1",5
"GO:0009636","response to toxic substance","19/454","270/18986",0.0703703703703704,2.94284548866047,5.03252230532138,2.91857590836905e-05,0.0150444670066857,0.0144496942387765,"S100A9/CPS1/CP/ALB/ADH4/MAP1B/IPCEF1/SLC22A1/NOS3/SCN2B/GUCY2C/KCNC2/DHRS2/FOS/HBA1/MT2A/MT1X/SLC6A4/MAOB",19
"GO:1990868","response to chemokine","11/454","102/18986",0.107843137254902,4.50993348881403,5.56319212176529,3.26255722562986e-05,0.0150444670066857,0.0144496942387765,"PADI2/ZC3H12A/STK39/CCL20/CXCR6/CXCL1/CXCL2/LOX/DUSP1/CCR6/CCL2",11
"GO:1990869","cellular response to chemokine","11/454","102/18986",0.107843137254902,4.50993348881403,5.56319212176529,3.26255722562986e-05,0.0150444670066857,0.0144496942387765,"PADI2/ZC3H12A/STK39/CCL20/CXCR6/CXCL1/CXCL2/LOX/DUSP1/CCR6/CCL2",11
"GO:0052695","cellular glucuronidation","5/454","21/18986",0.238095238095238,9.95699601426474,6.42787890094879,0.000113372318554941,0.0464700536832419,0.0446328917258399,"UGT1A8/UGT1A5/UGT1A4/UGT1A3/UGT2B17",5
