"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",158.427918867622,0.0979899002797297,0.250281953539463,0.391518041528628,0.695414355623289,0.833823201652571
"MIR6859-1",0.336333271919877,0.226108200788761,4.0804728567969,0.055412254590085,0.955810033087493,NA
"LOC100996442",0.953877937313044,-0.790297502647194,3.15905629071872,-0.25016885737968,0.802456767860965,NA
"SEPTIN14P18",0.973477183507165,-0.756733097310513,2.86022675643117,-0.264571015430512,0.791339950990569,NA
"LOC729737",0.454005191821957,-2.20044514219462,3.99554078975967,-0.550725235451037,0.581822042731676,NA
"LOC102725121",0.671893562188732,0.234736492648101,3.33870730941594,0.0703075983887801,0.943948834835886,NA
"WASH9P",132.014142377203,-0.290755684691792,0.248113224325015,-1.17186693890575,0.24125048244471,0.43141892089035
"LOC100132287",5.02165935192678,-0.255706848525923,1.48294527959189,-0.172431749198658,0.863098113726943,0.929756112757407
"MIR12136",0,NA,NA,NA,NA,NA
"SEPTIN14P14",0.968008380255092,-0.744446058131857,3.14128454388123,-0.2369877824605,0.812666268493171,NA
"LOC100288069",42.4096516322296,-0.277204721736713,0.424817531491193,-0.652526558317097,0.514061545710092,0.701743455005455
"LINC01409",5.86390271682441,1.91633606844536,1.1365967079411,1.68602993045503,0.0917900346084894,0.215839330186517
"FAM87B",4.16650574339498,0.109081320469499,1.6101408462558,0.0677464463578795,0.945987475367777,0.97170210717558
"LINC00115",5.7755767358964,-0.781367217764413,1.15913037985539,-0.67409778170243,0.500249149736141,0.689974675558487
"LINC01128",251.91975571753,0.602781618776016,0.188238487359388,3.20222302692635,0.00136371371251192,0.00743670255403359
"LOC107984850",0.308138931133379,-1.63865629677628,4.03712091490858,-0.405897254829531,0.684818095181176,NA
"LOC284600",3.49466378923534,-1.93452527039859,1.73838494575882,-1.11282905153907,0.265781855730814,NA
"LINC02593",1.43191950271313,-1.56033777645463,2.31134666120393,-0.675077348908746,0.499626623806292,NA
"SAMD11",18.9658615057291,0.0525933710415139,0.710576861490724,0.0740150346736283,0.940998422134828,0.969101064801237
"NOC2L",3388.83700216084,0.197650608477136,0.077826489746246,2.53963154604015,0.0110969305587573,0.0414359634487199
"KLHL17",91.6737439729002,0.436098637723002,0.309560609577859,1.40876656858152,0.158904203637479,0.322918177201415
"PLEKHN1",62.1732782856954,0.0982170453243082,0.344323783657589,0.28524618392896,0.775455539733211,0.881136505121978
"PERM1",5.52310615100496,-0.817720782053784,1.38103602474638,-0.592106771584004,0.553779092725844,0.732843813977061
"HES4",348.169040402501,0.116716965074699,0.155123947563354,0.752411003639721,0.451803931347746,0.649280557675742
"RPL39P12",2.31579773131231,0.21467560235006,1.64135553082381,0.130791652581395,0.895940126545502,NA
"ISG15",590.321568192504,0.0118418272676036,0.330330707511072,0.0358483997955495,0.971403240391104,0.985863055670459
"AGRN",6658.71287247545,-0.267020448538924,0.0828401102916203,-3.22332318968356,0.00126712498174904,0.00701273696938241
