"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC284600",4.9325147117797,4.99103061881999,1.6801817361286,2.97053021795137,0.0029728615679519,0.041368233046073
"ISG15",263.986294772011,1.50442690375002,0.473804955335314,3.17520297499913,0.00149731725035171,0.0268787984266889
"TP73-AS3",9.71168995871923,6.98140971600824,1.46973716913683,4.7501076128519,2.03308428250701e-06,0.000264491984779302
"CHD5",6.53917296442752,6.40315562782059,1.71726127996695,3.72870203417376,0.000192468567383876,0.00731531511797854
"RNF207",99.2666978284933,1.06502645692644,0.329144814515983,3.23573822207284,0.00121328597572845,0.023533677158316
"ZBTB48",313.424071821529,1.13200137560289,0.30497005412284,3.71184436078084,0.000205754497336405,0.00751802075025889
"SLC2A5",35.2123210687576,-1.64031085797247,0.538276028048626,-3.0473414614412,0.00230875278589846,0.035144592337122
"LOC105376830",9.447712282971,6.94242880274269,1.4756907244856,4.70452831853551,2.54453547721723e-06,0.000318214681873412
"WNT4",14.5775596086128,3.27267573585618,0.848152724453933,3.85859249342532,0.000114041907905275,0.00507015674962353
"LOC105376888",22.3469549543058,3.63063479456203,0.721784012190352,5.03008480825777,4.90262933437157e-07,8.40996168296092e-05
"LOC101928728",24.2662168980358,1.83017853439661,0.563161392127489,3.24982955149435,0.00115474197281736,0.0228722913896593
"SNHG3",466.675901394799,1.44850614102502,0.354063651346608,4.09108965440515,4.29351098432887e-05,0.0024942186787676
"SNORA73A",79.8455866049275,1.11277530913297,0.379581813866816,2.93158225310396,0.00337240047332471,0.0449900968857028
"SNHG12",188.585753975735,1.62447733982544,0.38688854779928,4.19882508558571,2.68303464214582e-05,0.00176298113570693
"TSSK3",7.05538033609801,6.53452942463325,1.55739249800341,4.1958141143036,2.71893176644831e-05,0.00178053288381196
"GJB3",35.5378121702219,-1.52542971566995,0.505450069257208,-3.01796321427291,0.00254479793113727,0.0374472796664895
"RPL5P4",14.5482198360055,2.44937578423007,0.799763890194703,3.06262362462222,0.00219405827281661,0.0342704476714561
"ZC3H12A",198.447386270968,1.33395506950219,0.29872024654522,4.46556631138911,7.98572324345044e-06,0.00072673830681241
"LOC105378649",3.78314006492753,5.6140556060922,1.82649167652338,3.07368255670249,0.00211434281313345,0.0333477795685751
"CAP1",3095.52912666215,-1.39220528303544,0.448842632614353,-3.10176703787321,0.00192369280997676,0.0313672925459547
"ZMPSTE24",2966.04034306791,-1.00810307531608,0.250249296723654,-4.02839523832632,5.61588753280728e-05,0.00303226640490073
"SLFNL1-AS1",51.9543232118614,2.32092706833095,0.470007117093846,4.93806792263432,7.89003639817782e-07,0.000125361037329737
"SLFNL1",65.7293877576715,1.65347737888045,0.542884079593916,3.04572825218464,0.00232117520745012,0.0352063069023576
"LOC112268225",18.7832326134635,2.61154436094629,0.742034594313527,3.5194374776587,0.000432462953005924,0.0122915863358751
"TSPAN1",191.745552009141,-1.05250637263937,0.33179133301659,-3.17219368893746,0.0015129206631618,0.0270539244785317
"LINC00853",10.2888032744684,3.49471550331633,1.19175584095846,2.93240895761478,0.00336343521360166,0.0449465139900061
"FAF1-AS1",20.8925447556784,2.20865360512473,0.65931970615458,3.34989775750295,0.000808413943377102,0.0186090795103833
"LOC724060",10.620267717315,6.12158669343337,1.5224768087147,4.02080784311013,5.79989017758636e-05,0.00309138972933049
"LOC105378723",10.1179710351792,4.11525361949045,1.22268765092738,3.36574399550786,0.000763375202456746,0.0179796657647893
"LOC105378726",38.6776617533167,1.76222426042243,0.536027574222826,3.28756270230583,0.00101058681648918,0.0211775295684608
"NFIA",376.323832342995,1.42185378098579,0.330933448075651,4.2964946252902,1.73520173397529e-05,0.00130368800044097
"CFL1P3",19.6762340780491,3.58222803154326,0.845421998738832,4.23720702428739,2.26317443578268e-05,0.00158947004576853
"LOC102724416",15.7670697417234,3.7811865139007,0.957368860514999,3.94956079088124,7.82947250668139e-05,0.00390145231541162
"WLS",532.689599957394,-1.18372791236591,0.265518758373481,-4.4581705624763,8.26621173261975e-06,0.000737764279933034
"LRRC40",507.086197236387,-1.23661969351069,0.395882764812938,-3.12370177088921,0.00178591370212118,0.029843233794756
"ACADM",940.196895662082,-1.14414568743536,0.289678618986756,-3.94970706308038,7.8246896211534e-05,0.00390145231541162
"NSRP1P1",20.1067775520189,6.13677190312767,1.38999935417067,4.41494586649581,1.01035270184589e-05,0.00085977345568207
"NEXN",231.225414948743,1.91038532702943,0.435184159851232,4.38983194535963,1.13438293787876e-05,0.000923902473438734
"GBP5",10.9846577265729,7.15118852738374,1.52557616244482,4.68753294881296,2.76518192612135e-06,0.000335001790349602
"EPHX4",34.2053806365357,-2.13738146668502,0.528831829287482,-4.04170352144804,5.30642972335095e-05,0.00291387631040892
"CCDC18",147.860813478961,1.42585909659666,0.328261782557391,4.34366463707171,1.40125374833534e-05,0.00109523801039243
"SCARNA2",96.3060011005359,1.51020306980725,0.522553040278143,2.89004742753655,0.00385183709142291,0.0486727576141732
"WNT2B",8.29962662782284,3.17363689827537,1.08497042137967,2.92509070822384,0.00344355831256339,0.0454651929516134
"LOC105378925",5.95399912713375,5.26765494311603,1.60419994323369,3.28366483575462,0.00102466703081983,0.021325971740991
"NBPF26",169.354448877081,1.12009702029871,0.260197011364302,4.30480355798729,1.67133974712814e-05,0.00126609416065678
"NBPF20",171.079505394903,1.01541136787229,0.350590719194368,2.89628707287414,0.00377606796870133,0.0480670448184651
"TXNIP",5004.0968981189,1.09619308577311,0.189600933091109,5.78158064890089,7.40019892923665e-09,2.81265600086908e-06
"LOC100996756",4.42841307402434,5.85632635319352,1.71512923257997,3.41451025494108,0.000638967881435013,0.0161483095355102
"LINC02804",19.6002691146168,2.13968470370545,0.651490137067762,3.28429331767903,0.00102238456401977,0.021325971740991
"LOC100132057",33.0699720121891,1.80787473394158,0.574909340487775,3.14462578118441,0.00166299405105034,0.0287303713775042
"NOTCH2NLB",101.46530716553,1.22021327564342,0.300451587457444,4.06126419889945,4.88076993624557e-05,0.00274570706505281
"NOTCH2NLC",65.0863896975094,1.67645540418627,0.419287925807467,3.99833932960923,6.37884588438807e-05,0.00331494768426215
"CA14",21.0589886722244,2.47997286989472,0.738221340039115,3.35938929882915,0.000781149406837008,0.0182479477921177
"CELF3",44.8355531601518,1.39789462480726,0.434266240771001,3.21898064727624,0.00128647167352117,0.0243050359839516
"LOC105371441",245.043208343373,1.32950216435591,0.246651844440327,5.39019753682627,7.03802779041906e-08,1.79506750907215e-05
"S100A9",25.7458613446793,-2.30578356981504,0.691427401586967,-3.33481659032141,0.000853556767560015,0.019238772537655
"NUP210L",8.65497148978599,3.90204869093698,1.14727071594897,3.40115775352061,0.000671010928105136,0.016696888100629
"SHC1",982.255232643367,-1.07918314779631,0.319745301582003,-3.37513371566944,0.000737798332252375,0.017612663635936
"RUSC1-AS1",48.0658471303257,1.90918206530064,0.587478379463763,3.24979119579396,0.00115489771988847,0.0228722913896593
"PAQR6",16.9902194817162,2.34289578412022,0.783318360992355,2.99098795686609,0.00278076459874324,0.0394956279931394
"GPATCH4",3273.99063707384,1.24916229767531,0.433481169060106,2.88169910675428,0.00395537246879751,0.0493060706978592
"KIRREL1-IT1",111.566727125765,3.27270470494035,0.587305635837404,5.57240473314034,2.51246888664525e-08,7.46605115256738e-06
"LOC112543491",41.88532817944,3.20763022151453,0.597087579282623,5.37212685845578,7.78133326023264e-08,1.95887485605649e-05
"LOC105371475",30.5598817707711,2.03000709652036,0.539353978415243,3.76377514167046,0.000167367389842273,0.00668898724338044
"FAM78B-AS1",5.59577550989545,6.19812547177032,1.79996519979907,3.44346961400265,0.000574301125355978,0.0149930346391314
"GPA33",80.5052068254457,-3.50344629687488,0.402866796672738,-8.69628950762316,3.42912880550746e-18,1.51319634121461e-14
"LOC100505918",81.8461265383191,3.10607879170152,0.518832254981271,5.98667249747926,2.14177426629582e-09,1.09253032573364e-06
"QRSL1P1",21.8169237517289,2.19525083472045,0.693150650509203,3.1670616381991,0.00153987675798142,0.0273592768805792
"LOC101928565",16.4271370471996,2.62461201472512,0.819369411618261,3.20320966039175,0.00135905000077096,0.0252558894757641
"CCDC181",6.94597673348801,3.53797677642553,1.19912618971683,2.95046243403373,0.00317298627325348,0.0432221826568837
"PRRC2C",12762.5303717896,1.17570808084241,0.267687973032553,4.39208406535108,1.12269270303848e-05,0.000918239466485141
