Treatment,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,infected,mock,mock,mock,mock,mock,mock,mock,mock,mock
Hours,0,0,0,1,1,1,2,2,2,4,4,4,7,7,7,12,12,12,24,24,24,48,48,48,4,4,4,12,12,12,48,48,48
Description,SKA03_2,SKA03_3,SKA03_5,SKA03_8,SKA03_9,SKA03_10,SKA03_11,SKA03_14,SKA03_15,SKA03_16,SKA03_19,SKA03_20,SKA03_22,SKA03_24,SKA03_25,SKA03_27,SKA03_28,SKA03_29,SKA03_32,SKA03_33,SKA03_34,SKA03_36,SKA03_38,SKA03_39,SKA03_41,SKA03_43,SKA03_45,SKA03_46,SKA03_48,SKA03_49,SKA03_56,SKA03_58,SKA03_59
